Ano, Bloco, Componente, Acao/Servico/Estrategia, Competencia/Parcela, No OB,Data_OB,Valor Total
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - NEFROLOGIA,fev-10,808734,6/4/10,"6.734.387,93"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/HOSP DE REF P/SUBSISTEMA DE VIG. EP EM AMBITO HOSPITALAR,fev-10,808294,6/4/10,"19.000,00"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO PARA ESTABELECIMENTOS DE PARCERIAS COM AS OSC,fev-10,808616,6/4/10,"30.583,33"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - MAMOGRAFIA PARA RASTREAMENTO,10-Jan,808222,6/4/10,"119.925,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - OUTRAS CIRURGIAS PLASTICAS/REPARADORAS,10-Jan,808223,6/4/10,"4.645,12"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - ATEND/ACOMP. DIAG. DOENCAS ENDOCR./METABOLICAS E NUTRICIONAIS,10-Jan,808220,6/4/10,"4.134,90"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - TRANSPLANTES DE ORGAOS, TECIDOS E CELULAS",10-Jan,808225,6/4/10,"2.705.378,13"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA DO APARELHO CIRCULATORIO,10-Jan,808221,6/4/10,"35.318,92"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO EM ONCOLOGIA,10-Jan,808226,6/4/10,"534.581,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - POLITICA NACIONAL DE CIRURGIAS ELETIVAS,10-Jan,808224,6/4/10,"249.564,26"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO NO AMBITO DO PROGRAMA NACIONAL DE HIV AIDS E OUTRAS DST,fev-10,808423,6/4/10,"111.165,67"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,FINANCIAMENTO AOS CENTROS DE REFERENCIA EM SAUDE DO TRABALHADOR,10-Mar,808852,7/4/10,"40.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA DO APARELHO CIRCULATORIO,fev-10,809346,12/4/10,"20.044,05"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - TRANSPLANTES DE ORGAOS, TECIDOS E CELULAS",fev-10,809351,12/4/10,"2.096.703,23"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO EM ONCOLOGIA,fev-10,809352,12/4/10,"687.518,50"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - MAMOGRAFIA PARA RASTREAMENTO,fev-10,809347,12/4/10,"117.990,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - CIRURGIA APARELHO DIGESTIVO, ORGAOS ANEXOS E PAREDE ABDOMINAL",fev-10,809345,12/4/10,"90.178,73"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - POLITICA NACIONAL DE CIRURGIAS ELETIVAS,fev-10,809350,12/4/10,"21.135,87"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - ATEND/ACOMP. DIAG. DOENCAS ENDOCR./METABOLICAS E NUTRICIONAIS,fev-10,809344,12/4/10,"5.355,68"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - OUTRAS CIRURGIAS PLASTICAS/REPARADORAS,fev-10,809349,12/4/10,"9.575,34"
2010,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,9-Nov,809511,13/04/2010,"8.100,00"
2010,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,set-09,809469,13/04/2010,"8.100,00"
2010,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,out-09,809614,13/04/2010,"8.100,00"
2010,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,9-Nov,809510,13/04/2010,"18.900,00"
2010,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,out-09,809613,13/04/2010,"18.900,00"
2010,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,set-09,809468,13/04/2010,"18.900,00"
2010,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,dez-09,809554,13/04/2010,"18.900,00"
2010,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,dez-09,809555,13/04/2010,"8.100,00"
2010,VIGILANCIA EM SAUDE,VIGILANCIA SANITARIA,INCENTIVO A EXECUCAO DAS ACOES DE GESTAO DE PESSOAS EM VS - ANVISA,dez-09,809914,16/04/2010,"200.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,10-Mar,810100,22/04/2010,"1.609.744,72"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,10-Mar,810103,22/04/2010,"21.804,00"
2010,INVESTIMENTO,PRE-HOSPITALAR FIXO DAS REDES DE ATENCAO INTEGRAL AS URGENCIAS,UNIDADE DE PRONTO ATENDIMENTO - UPA,2 de 3,810329,23/04/2010,"1.690.000,00"
2010,INVESTIMENTO,PRE-HOSPITALAR FIXO DAS REDES DE ATENCAO INTEGRAL AS URGENCIAS,UNIDADE DE PRONTO ATENDIMENTO - UPA,2 de 3,810328,23/04/2010,"1.300.000,00"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO PARA ESTABELECIMENTOS DE PARCERIAS COM AS OSC,10-Mar,810784,27/04/2010,"30.583,33"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/O FORT. DOS LABORATORIOS CENTRAIS DE SAUDE PUBLICA - LACEN,10-Mar,810811,27/04/2010,"480.000,00"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,TETO FINANCEIRO DE VIGILANCIA EM SAUDE - TFVS (ADICIONAL),10-Mar,810756,27/04/2010,600
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/HOSP DE REF P/SUBSISTEMA DE VIG. EP EM AMBITO HOSPITALAR,10-Mar,810880,27/04/2010,"19.000,00"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,TETO FINANCEIRO DE VIGILANCIA EM SAUDE - TFVS (EX-TFECD),10-Mar,810638,27/04/2010,"733.151,83"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO NO AMBITO DO PROGRAMA NACIONAL DE HIV AIDS E OUTRAS DST,10-Mar,810708,27/04/2010,"111.165,67"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,REDE NACIONAL DE SERVICOS DE VERIFICACAO DE OBTO E ESCL. CAUSA MORTIS,10-Mar,810832,27/04/2010,"35.000,00"
2010,ASSISTENCIA FARMACEUTICA,MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL - CMDE,PROGRAMA DE AQUISICAO DE MEDICAMENTOS EXCEPCIONAIS,abr-10,811586,4/5/10,"4.974.318,90"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TERMO DE COOPERACAO ENTRE ENTES PUBLICOS,abr-10,811286,4/5/10,"24.747.484,15"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,abr-10,811486,4/5/10,"32.843.953,02"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,10-Mar,811615,5/5/10,"3.052.823,33"
2010,INVESTIMENTO,PRE-HOSPITALAR FIXO DAS REDES DE ATENCAO INTEGRAL AS URGENCIAS,UNIDADE DE PRONTO ATENDIMENTO - UPA,2 de 3,811962,13/05/2010,"1.690.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - NEFROLOGIA,10-Mar,812098,17/05/2010,"7.104.062,02"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,REDE NACIONAL DE SERVICOS DE VERIFICACAO DE OBTO E ESCL. CAUSA MORTIS,abr-10,812354,18/05/2010,"35.000,00"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/HOSP DE REF P/SUBSISTEMA DE VIG. EP EM AMBITO HOSPITALAR,abr-10,812386,18/05/2010,"19.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,10-Mar,812424,18/05/2010,"166.666,67"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/O FORT. DOS LABORATORIOS CENTRAIS DE SAUDE PUBLICA - LACEN,abr-10,812293,18/05/2010,"480.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,abr-10,813171,21/05/2010,"6.588,20"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,10-Mar,813145,21/05/2010,"6.588,20"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO EM ONCOLOGIA,10-Mar,813394,24/05/2010,"953.915,50"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - TRANSPLANTES DE ORGAOS, TECIDOS E CELULAS",10-Mar,813393,24/05/2010,"2.217.636,67"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CENTRAL NACIONAL DE REGULACAO DE ALTA COMPLEXIDADE (CNRAC),10-Mar,813388,24/05/2010,"21.601,10"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - ATEND/ACOMP. DIAG. DOENCAS ENDOCR./METABOLICAS E NUTRICIONAIS,10-Mar,813387,24/05/2010,"7.009,64"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - OUTRAS CIRURGIAS PLASTICAS/REPARADORAS,10-Mar,813392,24/05/2010,"16.936,43"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - CIRURGIA APARELHO DIGESTIVO, ORGAOS ANEXOS E PAREDE ABDOMINAL",10-Mar,813389,24/05/2010,"67.813,82"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - MAMOGRAFIA PARA RASTREAMENTO,10-Mar,813391,24/05/2010,"120.330,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA DO APARELHO CIRCULATORIO,10-Mar,813390,24/05/2010,"56.124,17"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,TETO FINANCEIRO DE VIGILANCIA EM SAUDE - TFVS (EX-TFECD),abr-10,813706,25/05/2010,"729.908,20"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO PARA ESTABELECIMENTOS DE PARCERIAS COM AS OSC,abr-10,813844,25/05/2010,"30.583,33"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO NO AMBITO DO PROGRAMA NACIONAL DE HIV AIDS E OUTRAS DST,abr-10,813791,25/05/2010,"111.165,67"
2010,VIGILANCIA EM SAUDE,PISO VARIAVEL DE VIGILANCIA E PROMOCAO DA SAUDE - PVVPS,FORMULA INFANTIL AS CRIANCAS VERTICALMENTE EXPOSTAS AO HIV,abr-10,813845,25/05/2010,"44.744,70"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,TETO FINANCEIRO DE VIGILANCIA EM SAUDE - TFVS (ADICIONAL),abr-10,813749,25/05/2010,600
2010,ASSISTENCIA FARMACEUTICA,MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL - CMDE,PROGRAMA DE AQUISICAO DE MEDICAMENTOS EXCEPCIONAIS,mai-10,813921,28/05/2010,"4.974.318,90"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,abr-10,814101,31/05/2010,"3.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,10-Mar,814085,31/05/2010,"3.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,FINANCIAMENTO AOS CENTROS DE REFERENCIA EM SAUDE DO TRABALHADOR,abr-10,814051,31/05/2010,"40.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,mai-10,814430,1/6/10,"33.305.869,34"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TERMO DE COOPERACAO ENTRE ENTES PUBLICOS,mai-10,814525,1/6/10,"24.747.484,15"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,FINANCIAMENTO AOS CENTROS DE REFERENCIA EM SAUDE DO TRABALHADOR,mai-10,814593,2/6/10,"40.000,00"
2010,ASSISTENCIA FARMACEUTICA,MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL - CMDE,PROGRAMA DE AQUISICAO DE MEDICAMENTOS EXCEPCIONAIS,10-Jun,814662,2/6/10,"4.974.318,90"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - CIRURGIA APARELHO DIGESTIVO, ORGAOS ANEXOS E PAREDE ABDOMINAL",abr-10,814844,7/6/10,"97.389,09"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - TRANSPLANTES DE ORGAOS, TECIDOS E CELULAS",abr-10,814847,7/6/10,"1.621.689,64"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - OUTRAS CIRURGIAS PLASTICAS/REPARADORAS,abr-10,814846,7/6/10,"11.374,47"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CENTRAL NACIONAL DE REGULACAO DE ALTA COMPLEXIDADE (CNRAC),abr-10,814843,7/6/10,"42.319,46"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA DO APARELHO CIRCULATORIO,abr-10,814845,7/6/10,"1.278,43"
2010,INVESTIMENTO,PRE-HOSPITALAR FIXO DAS REDES DE ATENCAO INTEGRAL AS URGENCIAS,UNIDADE DE PRONTO ATENDIMENTO - UPA,3 de 3,815379,14/06/2010,"650.000,00"
2010,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO PARA ESTABELECIMENTOS DE PARCERIAS COM AS OSC,mai-10,816554,29/06/2010,"122.333,32"
2010,VIGILANCIA EM SAUDE,PISO VARIAVEL DE VIGILANCIA E PROMOCAO DA SAUDE - PVVPS,INCENTIVO NO AMBITO DO PROGRAMA NACIONAL DE HIV/AIDS E OUTRAS DST,mai-10,816498,29/06/2010,"444.662,68"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO EM ONCOLOGIA,abr-10,816440,29/06/2010,"671.403,50"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - MAMOGRAFIA PARA RASTREAMENTO,abr-10,816438,29/06/2010,"151.785,00"
2010,VIGILANCIA EM SAUDE,PISO VARIAVEL DE VIGILANCIA E PROMOCAO DA SAUDE - PVVPS,FORMULA INFANTIL AS CRIANCAS VERTICALMENTE EXPOSTAS AO HIV,mai-10,816574,29/06/2010,"44.744,70"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - ATEND/ACOMP. DIAG. DOENCAS ENDOCR./METABOLICAS E NUTRICIONAIS,abr-10,816437,29/06/2010,"4.646,84"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - NEFROLOGIA,abr-10,816439,29/06/2010,"7.060.853,71"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - TRANSPLANTES DE ORGAOS, TECIDOS E CELULAS",abr-10,816472,29/06/2010,"1.217.619,41"
2010,VIGILANCIA EM SAUDE,PISO VARIAVEL DE VIGILANCIA E PROMOCAO DA SAUDE - PVVPS,SERVICOS DE VERIFICACAO DE OBITO - SVO,mai-10,816596,29/06/2010,"140.000,00"
2010,INVESTIMENTO,PRE-HOSPITALAR FIXO DAS REDES DE ATENCAO INTEGRAL AS URGENCIAS,UNIDADE DE PRONTO ATENDIMENTO - UPA,3 de 3,816799,1/7/10,"650.000,00"
2010,INVESTIMENTO,PRE-HOSPITALAR FIXO DAS REDES DE ATENCAO INTEGRAL AS URGENCIAS,UNIDADE DE PRONTO ATENDIMENTO - UPA,3 de 3,816901,2/7/10,"500.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,10-Jun,817028,5/7/10,"33.905.869,34"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TERMO DE COOPERACAO ENTRE ENTES PUBLICOS,10-Jun,817308,5/7/10,"24.747.484,15"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,FINANCIAMENTO AOS CENTROS DE REFERENCIA EM SAUDE DO TRABALHADOR,10-Jun,817548,8/7/10,"40.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,mai-10,817670,8/7/10,"600.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - NEFROLOGIA,mai-10,817567,8/7/10,"7.104.062,02"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,abr-10,817665,8/7/10,"600.000,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO EM ONCOLOGIA,mai-10,817730,9/7/10,"817.679,50"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - ATEND/ACOMP. DIAG. DOENCAS ENDOCR./METABOLICAS E NUTRICIONAIS,mai-10,817723,9/7/10,"5.473,82"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - TRANSPLANTES DE ORGAOS, TECIDOS E CELULAS",mai-10,817729,9/7/10,"2.949.083,20"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA DO APARELHO CIRCULATORIO,mai-10,817726,9/7/10,"31.051,33"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - OUTRAS CIRURGIAS PLASTICAS/REPARADORAS,mai-10,817728,9/7/10,"10.169,99"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - MAMOGRAFIA PARA RASTREAMENTO,mai-10,817727,9/7/10,"133.200,00"
2010,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS DE MAC,10-Jul,817695,9/7/10,"26.848.400,00"
